latitude,longitude,count of species,count of life form,count of vegetation
6.770146,93.839385,52,4,2
6.816389,93.862556,16,4,1
6.818278,93.852222,36,4,1
6.819141,93.861848,28,4,2
6.819419,93.807923,4,2,1
7.029763,93.906845,21,4,1
7.032599,93.911414,34,3,1
7.032627,93.911608,13,4,1
7.038831,93.908926,5,1,1
7.077401,93.893909,2,1,1
7.104,93.880446,4,1,1
7.121035,93.645828,31,3,1
7.131981,93.874836,3,1,1
7.948111,93.333889,12,3,1
7.995731,93.396192,12,4,1
8.036083,93.512222,32,5,1
10.513746,92.507167,9,3,1
10.518613,92.487016,19,3,1
10.532716,92.538205,20,3,1
10.534647,92.467702,15,3,1
10.536849,92.543344,21,2,1
10.608988,92.420004,15,2,1
10.679452,92.591975,17,3,1
10.778861,92.393139,16,3,1
10.781556,92.388722,8,2,1
10.784397,92.386326,12,3,1
10.800947,92.572861,24,2,1
10.859414,92.463788,14,1,1
11.439943,92.628085,24,3,1
11.559756,92.73086,4,2,1
11.56002,92.729668,1,1,1
11.56177,92.549454,12,3,1
11.563099,92.541191,14,3,1
11.568056,92.591389,24,3,1
11.568111,92.591361,13,4,1
11.58425,92.537667,19,4,1
11.61436,92.689259,5,1,1
11.643389,92.648389,3,1,1
11.644,92.648556,33,4,1
11.646472,92.648611,5,2,1
11.697806,92.613528,28,4,1
11.698986,92.733145,24,4,1
11.718639,92.613806,3,1,1
11.798442,92.712029,5,1,1
11.826083,92.659889,6,1,1
11.838943,93.04663,2,2,1
11.83916,93.047304,29,4,1
11.841972,93.056127,27,3,1
11.973548,92.594003,5,1,1
12.024287,92.973323,1,1,1
12.032569,92.973283,1,1,1
12.033972,92.9775,1,1,1
12.06125,93.000944,2,1,1
12.068808,92.96649,1,1,1
12.072343,93.013068,1,1,1
12.076083,93.009806,2,1,1
12.102194,92.724,22,4,1
12.113139,93.0535,1,1,1
12.122583,92.806444,4,1,1
12.129516,92.812291,10,3,1
12.131923,92.80278,15,3,1
12.132097,92.815272,8,4,1
12.134266,92.809006,13,3,1
12.151528,92.760556,4,2,1
12.165333,92.765444,10,3,1
12.21852,92.769508,2,2,1
12.242464,92.750919,4,1,1
12.244083,92.752417,23,2,1
12.245181,93.086693,4,1,1
12.254444,92.782528,28,4,1
12.322934,92.789818,4,1,1
12.33475,92.771278,3,1,1
12.338306,92.772333,2,1,1
12.453228,92.895537,4,2,1
12.454673,92.89687,3,1,1
12.461471,92.909614,3,1,1
12.469749,92.931903,2,1,1
12.472952,92.906003,6,3,1
12.473,92.880333,2,1,1
12.475,92.88233,1,1,1
12.478592,92.848356,6,1,1
12.499306,92.85,4,1,1
12.618306,92.949472,4,1,1
12.860389,92.84825,10,3,1
12.864194,92.850194,14,3,1
12.878333,92.917083,3,1,1
12.884694,92.876472,14,3,1
12.888806,92.874306,1,1,1
12.907989,92.79564,20,1,1
13.667667,93.007947,3,1,1
